NumNodes,NumEdges,FileSize
70,597,806054
81,829,902790
74,697,845041
104,1477,1150767
76,740,863726
72,656,828274
71,626,816405
104,1477,1008805
78,786,882322
70,597,806054
68,543,786629
72,656,827712
71,626,816405
80,813,895378
1524,90409,25759436
873,12853,4316865
1243,46314,13646437
3484,1291241,346246402
1706,140219,38557755
994,20177,6320226
2161,332324,90349914
1193,40540,11825451
2465,502960,136368751
1133,33290,9870335
1334,59223,17120029
1423,73233,20622421
3241,1059709,285469959
1927,49132,14471026
1524,15327,5287886
2465,124206,34957721
3484,315533,85726455
2161,79413,22636680
1706,27312,8562159
873,1497,1300549
1133,3116,1854432
1423,9902,4058970
1193,4078,2138766
1243,5403,2514913
994,2122,1524151
1334,8018,3253635
3241,255590,70011669
3484,662198,178463897
3241,534418,145412561
873,4128,2000395
1334,23964,7495271
1193,14701,4964484
1927,103455,29183220
1243,18042,5876887
1249,39143,11622942
2161,159311,44151824
994,6137,2592141
2465,245572,67765097
1133,11415,4061966
1706,63225,18115017
1423,29929,9124142
1506,291372,82324298
10537,574039,212101778
10537,574039,216038999
742,273847,79393261
791,311306,90017894
542,145820,42974716
626,194702,56869821
1000,498093,141180065
431,92044,27687927
375,69586,21272732
596,176435,51684062
570,161329,47382576
939,439070,125958545
478,113302,33755964
519,133663,39516476
677,227840,66297287
504,126018,37343363
737,270598,77793704
747,278007,79873412
699,243392,70142570
1000,498534,139978148
713,253264,72925006
682,231668,66840041
719,257546,74125157
759,287017,82408053
646,207790,60148263
822,336732,96392413
927,428326,122079533
772,296954,85223262
730,265495,76351006
788,309416,88737808
2993,101339,36013715
2993,101339,37114798
3255,19860,26516329
2181,4597,18741217
2900,12508,23334584
5576,285057,108985066
2431,5664,19618304
13390,4677038,1345772572
3536,37782,32575545
4389,109563,54888898
2744,8664,21483052
3948,64180,41103671
4927,172549,74678436
10468,2057930,622666966
2542,6536,20257450
2350,5225,19243542
138,9444,2662626
199,19688,5410051
500,124678,33260487
80,3157,967074
88,3823,1147544
239,28423,7747276
123,7494,2137972
175,15213,4211082
82,3318,1010719
100,4945,1450777
96,4555,1345477
155,11924,3328861
394,77368,20812647
106,5558,1616184
5449,26957,11555212
5578,27963,11883172
5745,29344,12328302
7055,44186,16885735
6505,37129,14753405
8057,58843,21248765
7451,50148,18655223
6753,40235,15694713
6092,32240,13260869
5911,30496,12712344
5294,25554,11109804
10796,143953,45119888
6299,34541,13969409
13228,218001,61620189
7709,313149,148488629
12657,1405702,468207842
15521,2577635,802389195
29499,14387260,4118758783
33736,19975207,5676477978
9945,678690,257442617
33218,19265798,5479634074
26397,10884112,3138294195
21092,6117138,1801057649
5720,134949,92093578
33622,19792149,5625892761
23610,8192960,2384230845
18435,4209669,1264269803
33736,18333458,5223575146
5720,109772,85155546
33218,17676617,5041162765
33622,18162454,5176301956
18435,3749890,1137375642
21092,5509098,1633283192
15521,2254757,713299629
26397,9914438,2870674885
9945,554751,223260446
7709,248842,130746219
23610,7422352,2171570747
29499,13159003,3779777392
12657,1192193,409292955
15521,725340,290603467
26397,4085793,1259126470
33218,7858469,2327033353
33622,8088180,2391698737
21092,2109338,693449272
5720,40192,65941454
12657,316025,167132717
29499,5640987,1700948415
33736,8173424,2415440109
7709,67511,80621247
18435,1346182,472813411
9945,130341,106024415
33737,8251305,2388564141
23610,2954626,936326052
32305,202008894,55977315266
6271,5015105,1443021149
13918,32903122,9173049907
17074,51783779,14397343110
36278,256208466,70962622602
28919,160601743,44515189486
8446,10453855,2953924511
23131,100448215,27863442243
36831,264435617,73229465604
10932,19033819,5330136660
20248,75249956,20892873633
25864,127555160,35366374349
36708,262629833,72732596220
33736,14891099,4273189537
9945,347380,166045694
26397,7874814,2307370277
12657,810249,303854390
33622,14746639,4233203770
33218,14344819,4121174655
21092,4260102,1288427101
29499,10581126,3067791412
7709,153513,104421983
5720,75127,75597770
18435,2834821,884698796
15521,1642181,544204152
23610,5817329,1728342510
30111,4587523,1477505122
49442,25083726,7286098982
62970,48581054,13926375717
21799,1371999,553769216
25771,2515338,885760395
44275,18027001,5291251040
115711,224552590,63444950389
15369,547669,302675140
34647,7942123,2431526831
55282,34579729,9958219003
74387,73869178,21057097095
18395,821404,389423466
39679,12585193,3752757116
3017,396973,107378414
1804,103347,28941884
2159,174492,47973260
1394,48486,14203101
1470,58491,16891059
1547,67140,19220306
2526,259646,70728436
1625,77619,22035467
3030,400647,107374360
1921,123565,34357489
1289,36492,10974378
1714,89956,25348626
2014,141860,39252330
2305,206167,56441536
1921,192626,52658651
1547,109171,30358518
1804,163016,44754166
3030,608543,162466796
3017,603474,162101175
1625,124774,34531539
1289,61169,17513781
1714,143479,39532218
2159,266039,72233212
1394,80642,22724438
2014,219385,59796452
2526,392434,105917252
2305,311579,84375713
1470,95747,26763896
1625,23337,7650737
3017,161408,44953689
2014,50329,14996615
1921,42497,12874469
2159,64429,18806565
3030,163002,44398435
2305,79452,22862061
1289,9701,3874763
1547,19196,6515146
1470,16233,5692689
1804,34493,10695574
2526,102424,29064606
1714,28435,9045561
1394,13242,4863441
1547,276816,74784420
1625,310998,83880876
2159,615620,164872145
1714,354743,95517150
2014,518852,139155176
3030,1348946,358673547
2305,712538,190629814
1394,212102,57561319
1289,165640,45198581
2526,886788,236921023
1470,245510,66451070
3017,1337914,356727731
1804,396048,106507617
1921,460523,123651326
1804,258785,70132946
3030,915818,243894666
1289,103221,28657557
1547,178071,48617013
1714,230206,62514868
1625,201294,54809334
2526,595856,159824077
2014,341927,92270077
1921,302467,81766511
2159,409320,110202672
2305,475539,127825108
1470,157160,43038336
1394,134273,36936648
3017,908388,242903380
2526,135633,37864991
1547,29742,9309836
3030,210053,56866950
2159,88632,25220360
1470,25520,8153744
1714,42136,12676326
3017,207835,57256844
1394,20939,6903146
1289,15647,5450453
1625,35486,10870222
1804,49838,14761999
1921,60465,17635989
2014,70398,20314900
2305,107212,30218461
97,3674,1445577
104,4252,1626979
143,8344,2891113
95,3519,1396550
101,3983,1545209
112,4965,1850869
192,14992,4656101
113,5040,1874555
125,6250,2250185
135,7426,2610423
116,5359,1973007
120,5713,2083476
122,5921,2148119
174,12617,4187348
29,161,194996
27,132,180239
36,313,261743
91,3209,1261428
27,132,180239
62,1304,626658
42,484,328750
102,4338,1477918
60,1205,591820
68,1630,738242
73,1929,839114
51,805,448698
27,132,180239
55,974,509072
1529,333886,99552889
1431,291717,87457706
1708,421021,124443140
1551,343370,102266418
1494,318588,95176210
1780,455939,134378593
1570,351760,104666332
1589,360737,107213219
2016,592400,173103154
1614,371078,110176445
1383,268517,80818079
2100,663221,190068801
1653,391397,115999683
1461,304941,91258165
28,135,260496
1555,425965,113492868
25,104,250857
102,1737,720104
30,151,265686
28,135,260495
1604,594,1388470
1606,600,1391002
1621,653,1412168
1604,594,1388470
1608,609,1394334
1604,594,1388470
2233,4728,2064868
1604,594,1388470
1604,594,1388470
1681,874,1499210
1609,611,1395338
1997,2656,2121495
1607,603,1392270
1606,600,1391002
972,364342,105095342
1585,1003248,282732707
593,133879,40168943
1097,470150,134807867
1030,412826,118497920
673,198143,58181893
834,266546,77485973
646,159553,47103710
1185,555612,158117808
865,284226,83306398
936,337372,97409878
1769,1232310,344650163
898,307772,89707650
782,236024,68469043
5961,43794,42374773
10944,403683,146838085
5075,30468,35362378
7862,171309,85258150
5372,33576,37328133
6194,52330,45632379
7086,116968,67097954
6878,104481,62814368
10352,344091,143103174
7414,139484,74650943
6451,68777,51206952
6668,85588,56711001
5658,36874,39327930
4713,25727,32702548
6225,739255,198333703
3670,185581,51942701
6220,738722,200212840
3299,134430,38170530
5720,612426,166398106
5053,457050,124773987
5312,520627,141799163
5938,669734,181737743
6220,738722,200212840
4385,316702,87142682
4001,241975,67092305
5538,572057,155579049
4752,391348,107163019
6224,738977,200282432
705,12322,6335112
280,1111,1831184
547,5903,4017033
351,1570,2183360
499,4275,3408090
575,6906,4389292
802,18004,8251745
601,8049,4794876
438,2479,2713075
1171,48650,18032936
649,9966,5489465
190,903,1481249
1325,65368,21390880
161,871,1375997
765,285331,81824991
696,235696,67911659
824,330945,94648967
615,183732,53324066
755,277880,79734731
790,304565,87234063
650,205478,59410585
928,420276,119649780
714,248045,71363454
729,258768,74384832
674,221160,63817765
743,268993,77264753
772,290649,83317292
1000,487127,136588323
2722,9724,14760896
1382,746,8083802
3207,18005,18600719
1706,1145,9182371
2416,5555,12627200
2182,3023,11183767
4549,55797,33375674
1237,682,7626972
1857,1393,9714510
1549,881,8625276
2013,1844,10325639
835,473,6351827
4947,71704,32562608
1053,573,7044649
1077,14314,10402634
3285,297463,88479320
1047,12282,9704386
926,6789,7633697
967,8364,8263856
879,5662,7095777
1150,18648,11932424
1178,20397,12543353
1006,9701,8809553
1109,16334,11100957
1200,21602,12974099
1130,17655,11558303
1582,53495,23494651
1257,25927,14438514
308,25182,8359601
142,4730,2090408
61,639,688244
627,119883,35925940
254,16858,5846453
92,1681,1080408
196,9584,3621212
172,7102,2849251
50,434,594590
156,5737,2414857
121,3422,1656195
52,434,600491
223,12643,4568123
703,174686,50477547
52,119,511823
223,3584,2025211
172,1942,1401247
92,372,712156
156,1508,1228941
61,149,550704
308,7037,3275553
703,65350,19914162
121,809,924219
254,4801,2467745
142,1170,1091404
196,2660,1678544
50,119,505922
627,46038,15246772
80,153,231645
25000,4609450,1404217868
20601,2237835,731438507
28932,7534194,2228384229
9332,208535,83191232
5545,36428,34504679
5845,46415,38320610
7400,107641,60964655
5690,40577,36159370
6087,55412,41685030
5602,37949,35123503
8776,179678,85981364
5511,35460,34115881
5561,36782,34657799
5499,34971,33937630
5530,36005,34335742
6559,73678,48456766
5485,34808,33843426
5543,572849,155795464
5317,521389,142007604
6231,742005,201094464
3673,185802,52006321
3302,134605,38221925
6254,748013,200670581
5057,457775,124972115
6241,743889,201600000
5727,614360,166919100
5945,671460,182203499
4004,242228,67164434
4388,316980,87221524
4755,391639,107245253
6230,741911,201068990
351,23614,6472138
241,10687,3007595
331,20117,5540010
59,454,212189
133,3167,967247
215,8698,2469242
171,5321,1555440
270,13397,3737111
82,982,363814
361,25072,6861398
299,16171,4483491
388,26815,7211336
312,17900,4945787
560,102235,27573145
427,61138,16607868
524,90657,24484808
307,30453,8412255
463,71501,19374301
764,190024,50958316
259,21062,5899573
288,26718,7412866
486,79345,21466234
330,35259,9697756
597,117318,31592013
1131,419220,111570016
364,43499,11899418
389,50516,13772638
1830,301005,81127761
2666,570512,152926800
1667,267030,72069194
1258,199000,53855855
1564,248387,67086293
1747,282099,76095588
1418,220987,59756318
1312,206986,55998541
2669,572093,152477931
1522,240378,64943020
1361,214182,57928033
1983,336586,90605372
1457,226229,61162301
1610,257104,69415687
1667,267030,72069194
1610,257104,69415687
1983,336586,90605372
1564,248387,67086293
1830,301005,81127761
1312,206986,55998541
1418,220987,59756318
1522,240378,64943020
1258,199000,53855855
1361,214182,57928033
1747,282099,76095588
1457,226229,61162301
2666,570512,152926800
2669,572093,152477931
305,29420,9820173
232,15709,5766959
160,5830,2766265
184,8646,3638227
160,5830,2766265
160,5830,2766265
419,60242,18757445
160,5830,2766265
672,166707,48187153
159,5722,2734000
275,23692,8121859
672,166707,49106111
358,42265,13558667
160,5822,2764720
305,29420,9820173
232,15709,5766959
160,5830,2766265
184,8646,3638227
160,5830,2766265
160,5830,2766265
419,60242,18757445
160,5830,2766265
672,166707,48187153
159,5722,2734000
275,23692,8121859
672,166707,49106111
358,42265,13558667
160,5822,2764720
1787,37536,24071541
8811,1243876,384913767
8889,1278925,394892052
6837,492253,169344400
8905,1285296,396712620
1435,29665,20511419
5957,279437,107047574
7532,720670,235224419
8147,949057,300780905
5064,141091,65264876
8905,1285296,383960530
4190,89622,47662214
2301,45989,28381610
3146,61670,35925950
5064,7039557,1987332610
1435,224758,74964405
2301,781503,233657181
4190,4336650,1231694864
1787,394881,123811036
3146,1973089,569339733
1023,39451,14191681
1023,39451,14581306
9857,1159332,381819387
19266,8153006,2351636460
16704,5437558,1590259640
23548,13943573,3973873362
11445,1880922,587034349
7900,537286,203254823
14808,3885302,1153419356
17869,6575008,1909542344
21032,10337063,2964178570
12770,2570210,782483148
34136,33751239,9499192760
13863,3217002,965234486
15740,4595827,1353552621
11445,828213,295082606
15740,2248819,702644696
13863,1528059,496792024
